Date,Open,High,Low,Close,Volume
1994-08-08,29.1293,29.1293,29.1293,29.1293,70765
1994-08-09,29.1293,29.1293,29.1293,29.1293,70354
1994-08-10,28.5114,28.5114,28.5114,28.5114,29774
1994-08-11,28.2466,28.2466,28.2466,28.2466,50193
1994-08-16,29.0411,29.0411,29.0411,29.0411,58377
1994-08-17,30.5417,30.5417,30.5417,30.5417,65469
1994-08-18,33.5429,33.5429,33.5429,33.5429,196249
1994-08-22,36.8971,36.8971,36.8971,36.8971,155724
1994-08-23,39.6335,39.6335,39.6335,39.6335,247791
1994-08-24,37.2502,37.2502,37.2502,37.2502,170075
1994-08-25,34.0725,34.0725,34.0725,34.0725,66298
1994-08-29,35.3965,35.3965,35.3965,35.3965,50489
1994-08-30,34.7786,34.7786,34.7786,34.7786,37132
1994-08-31,34.3373,34.3373,34.3373,34.3373,34758
1994-09-01,32.6602,32.6602,32.6602,32.6602,37530
1994-09-05,32.6602,32.6602,32.6602,32.6602,30891
1994-09-06,30.8947,30.8947,30.8947,30.8947,47690
1994-09-07,28.688,28.688,28.688,28.688,65855
1994-09-08,31.5126,31.5126,31.5126,31.5126,69374
1994-09-12,33.0132,33.0132,33.0132,33.0132,83650
1994-09-13,30.3651,30.3651,30.3651,30.3651,51189
1994-09-14,27.3639,27.3639,27.3639,27.3639,99452
1994-09-15,30.1003,30.1003,30.1003,30.1003,93043
1994-09-19,28.688,28.688,28.688,28.688,59606
1994-09-20,27.8053,27.8053,27.8053,27.8053,34660
1994-09-21,29.1293,29.1293,29.1293,29.1293,111133
1994-09-22,29.5707,29.5707,29.5707,29.5707,39713
1994-09-26,31.6892,31.6892,31.6892,31.6892,79714
1994-09-27,30.8947,30.8947,30.8947,30.8947,44087
1994-09-28,30.8065,30.8065,30.8065,30.8065,68825
1994-09-29,31.4244,31.4244,31.4244,31.4244,47216
1994-10-03,31.8657,31.8657,31.8657,31.8657,53075
1994-10-04,32.2188,32.2188,32.2188,32.2188,38166
1994-10-05,33.1898,33.1898,33.1898,33.1898,24576
1994-10-06,33.3663,33.3663,33.3663,33.3663,34844
1994-10-07,33.5429,33.5429,33.5429,33.5429,98956
1994-10-10,33.5429,33.5429,33.5429,33.5429,45981
1994-10-11,32.5719,32.5719,32.5719,32.5719,30230
1994-10-12,33.1015,33.1015,33.1015,33.1015,22916
1994-10-13,32.2188,32.2188,32.2188,32.2188,16963
1994-10-14,32.7484,32.7484,32.7484,32.7484,26077
1994-10-17,32.2188,32.2188,32.2188,32.2188,11242
1994-10-18,33.3663,33.3663,33.3663,33.3663,33545
1994-10-19,33.5429,33.5429,33.5429,33.5429,39643
1994-10-20,33.5429,33.5429,33.5429,33.5429,56881
1994-10-21,33.3663,33.3663,33.3663,33.3663,32829
1994-10-24,32.2188,32.2188,32.2188,32.2188,22654
1994-10-25,32.2188,32.2188,32.2188,32.2188,63297
1994-10-26,32.2188,32.2188,32.2188,32.2188,99397
1994-10-27,32.6602,32.6602,32.6602,32.6602,34426
1994-10-28,32.2188,32.2188,32.2188,32.2188,44676
1994-11-02,29.1293,29.1293,29.1293,29.1293,12233
1994-11-03,31.7774,31.7774,31.7774,31.7774,38589
1994-11-04,29.6589,29.6589,29.6589,29.6589,20254
1994-11-07,29.8355,29.8355,29.8355,29.8355,16262
1994-11-08,29.1293,29.1293,29.1293,29.1293,27196
1994-11-09,27.8053,27.8053,27.8053,27.8053,13549
1994-11-10,26.5695,26.5695,26.5695,26.5695,35765
1994-11-14,23.9214,23.9214,23.9214,23.9214,29664
1994-11-15,22.0677,22.0677,22.0677,22.0677,78749
1994-11-16,22.0677,22.0677,22.0677,22.0677,44384
1994-11-17,24.2744,24.2744,24.2744,24.2744,43122
1994-11-18,26.6577,26.6577,26.6577,26.6577,97011
1994-11-21,24.0096,24.0096,24.0096,24.0096,17411
1994-11-22,25.8633,25.8633,25.8633,25.8633,40896
1994-11-23,26.9226,26.9226,26.9226,26.9226,55184
1994-11-24,27.8053,27.8053,27.8053,27.8053,41387
1994-11-25,28.5997,28.5997,28.5997,28.5997,44265
1994-11-28,28.688,28.688,28.688,28.688,43121
1994-11-29,31.5126,31.5126,31.5126,31.5126,119915
1994-11-30,33.0132,33.0132,33.0132,33.0132,147977
1994-12-01,32.2188,32.2188,32.2188,32.2188,80882
1994-12-02,32.2188,32.2188,32.2188,32.2188,90631
1994-12-05,32.2188,32.2188,32.2188,32.2188,53717
1994-12-06,32.6602,32.6602,32.6602,32.6602,59939
1994-12-07,31.7774,31.7774,31.7774,31.7774,62882
1994-12-08,30.4534,30.4534,30.4534,30.4534,96024
1994-12-09,29.4824,29.4824,29.4824,29.4824,30195
1994-12-12,31.7774,31.7774,31.7774,31.7774,35446
1994-12-13,31.7774,31.7774,31.7774,31.7774,30708
1994-12-14,31.3361,31.3361,31.3361,31.3361,18518
1994-12-15,30.8947,30.8947,30.8947,30.8947,16020
1994-12-16,31.6892,31.6892,31.6892,31.6892,16719
1994-12-19,32.2188,32.2188,32.2188,32.2188,60713
1994-12-20,31.6892,31.6892,31.6892,31.6892,17920
1994-12-21,30.983,30.983,30.983,30.983,35533
1994-12-22,30.012,30.012,30.012,30.012,56347
1994-12-23,29.9238,29.9238,29.9238,29.9238,36773
1994-12-27,29.9238,29.9238,29.9238,29.9238,30770
1994-12-28,29.9238,29.9238,29.9238,29.9238,21792
1994-12-29,32.6602,32.6602,32.6602,32.6602,56893
1995-01-02,32.6602,32.6602,32.6602,32.6602,29255
1995-01-03,33.1015,33.1015,33.1015,33.1015,24380
1995-01-04,32.6602,32.6602,32.6602,32.6602,24403
1995-01-05,32.6602,32.6602,32.6602,32.6602,39223
1995-01-06,32.5719,32.5719,32.5719,32.5719,15812
1995-01-09,32.6602,32.6602,32.6602,32.6602,22014
1995-01-10,31.7774,31.7774,31.7774,31.7774,25695
1995-01-11,32.5719,32.5719,32.5719,32.5719,31146
1995-01-12,30.8947,30.8947,30.8947,30.8947,28597
1995-01-13,31.3361,31.3361,31.3361,31.3361,16340
1995-01-16,31.954,31.954,31.954,31.954,28854
1995-01-17,31.3361,31.3361,31.3361,31.3361,29934
1995-01-18,31.7774,31.7774,31.7774,31.7774,13925
1995-01-19,32.2188,32.2188,32.2188,32.2188,18467
1995-01-20,32.2188,32.2188,32.2188,32.2188,12679
1995-01-23,31.7774,31.7774,31.7774,31.7774,13028
1995-01-24,31.3361,31.3361,31.3361,31.3361,39220
1995-01-25,30.8947,30.8947,30.8947,30.8947,40768
1995-01-26,30.8947,30.8947,30.8947,30.8947,21638
1995-01-27,30.4534,30.4534,30.4534,30.4534,19800
1995-01-30,30.012,30.012,30.012,30.012,25356
1995-01-31,29.5707,29.5707,29.5707,29.5707,28390
1995-02-01,30.4534,30.4534,30.4534,30.4534,29455
1995-02-02,30.3651,30.3651,30.3651,30.3651,25835
1995-02-03,30.1886,30.1886,30.1886,30.1886,23303
1995-02-06,29.9238,29.9238,29.9238,29.9238,27203
1995-02-07,30.012,30.012,30.012,30.012,52262
1995-02-08,30.8947,30.8947,30.8947,30.8947,57761
1995-02-09,30.012,30.012,30.012,30.012,6931
1995-02-10,29.4824,29.4824,29.4824,29.4824,14466
1995-02-13,28.2466,28.2466,28.2466,28.2466,5629
1995-02-14,28.2466,28.2466,28.2466,28.2466,9081
1995-02-15,26.5695,26.5695,26.5695,26.5695,19270
1995-02-16,27.5405,27.5405,27.5405,27.5405,8442
1995-02-17,26.9226,26.9226,26.9226,26.9226,24014
1995-02-20,26.746,26.746,26.746,26.746,19423
1995-02-21,24.7158,24.7158,24.7158,24.7158,23042
1995-02-22,24.7158,24.7158,24.7158,24.7158,17338
1995-02-23,25.8633,25.8633,25.8633,25.8633,17148
1995-02-24,28.4232,28.4232,28.4232,28.4232,87024
1995-02-27,27.0108,27.0108,27.0108,27.0108,12661
1995-02-28,26.6577,26.6577,26.6577,26.6577,10204
1995-03-01,26.4812,26.4812,26.4812,26.4812,8307
1995-03-02,26.4812,26.4812,26.4812,26.4812,9082
1995-03-03,26.9226,26.9226,26.9226,26.9226,19909
1995-03-06,26.5695,26.5695,26.5695,26.5695,21397
1995-03-07,26.4812,26.4812,26.4812,26.4812,10706
1995-03-08,26.4812,26.4812,26.4812,26.4812,10026
1995-03-09,26.6577,26.6577,26.6577,26.6577,10447
1995-03-10,25.3337,25.3337,25.3337,25.3337,11921
1995-03-13,25.3337,25.3337,25.3337,25.3337,24256
1995-03-14,24.8923,24.8923,24.8923,24.8923,22476
1995-03-15,24.8923,24.8923,24.8923,24.8923,19745
1995-03-16,24.2744,24.2744,24.2744,24.2744,37694
1995-03-17,24.2744,24.2744,24.2744,24.2744,17157
1995-03-20,23.9214,23.9214,23.9214,23.9214,15405
1995-03-21,23.9214,23.9214,23.9214,23.9214,12729
1995-03-22,23.48,23.48,23.48,23.48,10711
1995-03-23,23.2152,23.2152,23.2152,23.2152,11673
1995-03-24,23.6565,23.6565,23.6565,23.6565,39016
